                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                0.14289,                0.07054,                 0.1318,                0.77039,                0.99738,                      1,                  0.995,                0.98914,                0.99738,                      1,                  0.995,                0.97773,                0.23798,                0.22014,                0.20658,                0.77495,              0.0011486,              0.0011486,              0.0011486
                     45,                0.13948,                0.06076,                0.12977,                0.76927,                0.99826,                      1,                  0.995,                0.97287,                0.99826,                      1,                  0.995,                0.97613,                0.23609,                0.31777,                0.21931,                0.77291,              0.0011288,              0.0011288,              0.0011288
                     46,                0.13161,                0.05332,                0.12322,                0.76959,                  0.999,                      1,                  0.995,                0.98031,                  0.999,                      1,                  0.995,                0.96581,                0.23955,                 0.3676,                0.21546,                0.77511,               0.001109,               0.001109,               0.001109
                     47,                 0.1225,                0.04733,                0.11585,                0.76851,                0.98786,                      1,                0.99489,                 0.9887,                0.98786,                      1,                0.99489,                0.96653,                0.22754,                0.44533,                0.20304,                0.77204,              0.0010892,              0.0010892,              0.0010892
                     48,                0.12803,                 0.0459,                0.11835,                0.76911,                0.98442,                      1,                  0.995,                0.98097,                0.98442,                      1,                  0.995,                0.97117,                0.23629,                0.43961,                0.21612,                0.77639,              0.0010694,              0.0010694,              0.0010694
                     49,                0.12955,                0.05109,                0.12042,                0.76885,                0.98785,                      1,                0.99456,                0.98077,                0.98785,                      1,                0.99456,                0.96934,                0.23685,                 0.4552,                0.21515,                0.77874,              0.0010496,              0.0010496,              0.0010496
                     50,                0.13406,                0.04452,                0.12292,                 0.7692,                0.99882,                      1,                  0.995,                 0.9832,                0.99882,                      1,                  0.995,                0.97021,                0.21691,                0.38226,                0.20472,                0.77618,              0.0010298,              0.0010298,              0.0010298
                     51,                0.12441,                0.03801,                0.11729,                0.76843,                0.99549,                      1,                  0.995,                0.98848,                0.99549,                      1,                  0.995,                0.97077,                 0.2175,                0.45847,                 0.2062,                0.77513,                0.00101,                0.00101,                0.00101
                     52,                0.12413,                 0.0333,                0.11554,                0.76824,                0.98773,                      1,                  0.995,                0.97722,                0.98773,                      1,                  0.995,                0.97109,                0.22111,                0.33956,                0.22022,                0.77783,              0.0009902,              0.0009902,              0.0009902
                     53,                0.11161,                0.03306,                 0.1075,                0.76748,                0.99914,                      1,                  0.995,                0.98126,                0.99914,                      1,                  0.995,                0.96927,                0.21227,                0.46136,                0.20157,                0.77519,              0.0009704,              0.0009704,              0.0009704
