epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,115.653,0.25368,0.18765,0.78726,1,0.98832,0.99167,0.72517,1.1172,0.40032,1.02044,0.0009506,0.0009506,0.0009506
55,117.77,0.23957,0.18453,0.7868,1,0.98692,0.99146,0.71077,1.10961,0.40765,1.01851,0.0009308,0.0009308,0.0009308
56,119.871,0.22473,0.17812,0.78542,0.98807,0.98889,0.99082,0.71832,1.09279,0.39346,1.01078,0.000911,0.000911,0.000911
57,121.991,0.24025,0.18198,0.786,0.98826,0.98889,0.99096,0.7315,1.08396,0.40448,1.0116,0.0008912,0.0008912,0.0008912
58,124.105,0.24494,0.18447,0.78599,0.99617,0.97778,0.99169,0.71328,1.1295,0.41801,1.03321,0.0008714,0.0008714,0.0008714
59,126.168,0.21839,0.17483,0.78221,0.99856,0.97778,0.99099,0.74055,1.06449,0.394,1.00554,0.0008516,0.0008516,0.0008516
60,128.35,0.24543,0.18313,0.78693,0.98848,0.98889,0.99135,0.70716,1.1669,0.41852,1.05452,0.0008318,0.0008318,0.0008318
61,130.399,0.22849,0.17665,0.78288,1,0.98747,0.99116,0.73443,1.07803,0.40077,1.00785,0.000812,0.000812,0.000812
62,132.482,0.21454,0.16986,0.78225,0.98754,0.98889,0.991,0.70677,1.12493,0.40792,1.02893,0.0007922,0.0007922,0.0007922
63,134.501,0.19275,0.16141,0.77948,0.99746,0.97778,0.99114,0.72935,1.06208,0.40343,1.01078,0.0007724,0.0007724,0.0007724
64,136.643,0.19135,0.16049,0.77839,0.98841,0.98889,0.9913,0.70426,1.14629,0.42521,1.03971,0.0007526,0.0007526,0.0007526
65,138.685,0.18081,0.15585,0.77704,1,0.98855,0.99141,0.73332,1.05019,0.40219,1.00471,0.0007328,0.0007328,0.0007328
66,140.829,0.20445,0.16514,0.78212,0.98821,0.98889,0.9918,0.7126,1.142,0.42246,1.03791,0.000713,0.000713,0.000713
67,143.048,0.17198,0.1515,0.77543,0.99787,0.97778,0.99109,0.73769,1.08655,0.40644,1.01572,0.0006932,0.0006932,0.0006932
68,145.155,0.17135,0.15113,0.77563,1,0.98619,0.99151,0.71466,1.121,0.40949,1.03592,0.0006734,0.0006734,0.0006734
69,147.271,0.17476,0.15019,0.77595,0.98814,0.98889,0.99156,0.71436,1.127,0.42333,1.03008,0.0006536,0.0006536,0.0006536
70,149.371,0.1962,0.15969,0.78044,0.98768,0.98889,0.99135,0.71586,1.11613,0.4159,1.04019,0.0006338,0.0006338,0.0006338
71,151.446,0.15771,0.143,0.77377,0.99627,0.97778,0.99125,0.71394,1.13023,0.42212,1.03362,0.000614,0.000614,0.000614
72,153.579,0.15571,0.14199,0.77334,0.99895,0.98889,0.99141,0.71911,1.09696,0.41619,1.03233,0.0005942,0.0005942,0.0005942
73,155.701,0.16172,0.14465,0.77497,0.99816,0.98889,0.99162,0.71,1.15131,0.43058,1.03811,0.0005744,0.0005744,0.0005744
74,157.848,0.16951,0.14632,0.77492,1,0.98862,0.99374,0.72796,1.07387,0.41334,1.02602,0.0005546,0.0005546,0.0005546
75,159.988,0.15274,0.13872,0.77237,1,0.98673,0.99374,0.70923,1.14879,0.42206,1.04692,0.0005348,0.0005348,0.0005348
76,162.142,0.15757,0.14053,0.77434,0.99256,0.98889,0.99146,0.73045,1.08407,0.41242,1.02519,0.000515,0.000515,0.000515
77,164.262,0.14908,0.13632,0.77274,0.99846,0.98889,0.99167,0.71077,1.13981,0.42642,1.04422,0.0004952,0.0004952,0.0004952
78,166.365,0.14513,0.13484,0.77219,0.99708,0.98889,0.99409,0.72521,1.09247,0.41979,1.02798,0.0004754,0.0004754,0.0004754
79,168.515,0.13169,0.12822,0.77054,0.99906,0.98889,0.99365,0.71363,1.13866,0.42767,1.04797,0.0004556,0.0004556,0.0004556
